,price,year,km,title,location
497,204999,2016,49101, Honda City 4p Ex L4/1.5 Aut ,Distrito Federal
498,229999,2017,34589, Mazda Mazda 3 4p Sedán I L4/2.0 Aut ,Distrito Federal
499,287999,2017,32123, Mini Cooper 3p Chili L3/1.5/t Man ,Distrito Federal
500,309999,2017,8283, Mazda Mx-5 2p I Sport Convertible L4/2.0 Man ,Distrito Federal
501,339999,2016,78372, Kia Sorento 5p Ex V6/3.3 Aut Pack Nav ,Distrito Federal
502,372999,2018,21228, Ford Escape 5p Titanium L4/2.0/t Aut Ecoboost ,Distrito Federal
503,164999,2016,82360, Seat Ibiza 3p Sc Reference Blitz Coupé L4/1.6 Man ,Distrito Federal
504,134999,2013,79136, Mazda Mazda 2 5p Touring 5vel ,Distrito Federal
505,182999,2013,58553, Volkswagen Beetle 2p Sport 6 Vel Aut ,Distrito Federal
506,267999,2017,39368, Nissan Sentra 4p Sr L4/1.8 Man ,Distrito Federal
507,244999,2015,59720, Nissan X-trail 5p Sense 2 L4/2.5 Aut ,Distrito Federal
508,292999,2016,84074, Mini Cooper 5p Chili L3/1.5/t Aut ,Distrito Federal
509,172999,2011,91923, Honda Cr-v 5 Pts. Ex-l Manos Libres ,Distrito Federal
510,219999,2016,45459, Volkswagen Beetle 2p Allstar L5/2.5 Aut ,Distrito Federal
511,257999,2016,20571, Honda Hr-v 5p Epic L4/1.8 Aut ,Distrito Federal
512,242999,2015,32226, Ford Ranger 4p Xl Doble Cab L4 2.5 Man B/a ,Distrito Federal
513,327999,2015,98036, Audi Q5 Trendy L4/2.0/t Aut ,Distrito Federal
514,297999,2017,28349, Volkswagen Golf 5p Highline L4/1.4/t Aut ,Distrito Federal
515,324999,2015,77691, Subaru Wrx Wrx H4/2.0/t Aut ,Distrito Federal
516,212999,2013,64167, Honda Accord 2p Ex Coupe V6 Piel Abs Q/c Cd Aut 5 Vel. ,Distrito Federal
517,187999,2014,62366, Jeep Patriot 5p Sport L4/2.4 Aut ,Distrito Federal
518,127999,2015,58809, Nissan March 5p Sense L4/1.6 Man ,Distrito Federal
519,209999,2016,48839, Volkswagen Jetta 4p Comfortline L5/2.5 Aut ,Distrito Federal
520,232999,2015,86898, Mini Paceman 3p S J Cooper Works Paceman L4/1.6/t Aut ,Distrito Federal
521,182999,2016,82030, Nissan Sentra 4p Advance L4/1.8 Aut ,Distrito Federal
522,377999,2018,27463, Ford Escape 5p Titanium L4/2.0/t Aut Ecoboost ,Distrito Federal
